Name,Review Date,Verified,Type of Traveller,Month Flown,Route,Class,Sentiment,Origin,Destiny,Scale,Scale_bool,Or_country,Dst_country,Or_continent,Dst_continent,Or_lat,Dst_lat,Or_long,Dst_long,distance_km,Rev,year,month,day,Reviews_Simp,polarity,review_len,word_count
J Hassin,2024-02-17,True,Solo Leisure,February 2024,Bandar Seri Begawan to Singapore,Economy Class,2,Bandar Seri Begawan,Singapore,None,False, Brunei,Singapore,Bandar Seri Begawan,Singapore,4.8895453,1.357107,114.9417574,103.8194992,1296.3436776663025,  Competitive pricing on this route. Service is reliable and friendly. Flight was on time and all aspects went smoothly. No complaints at all and would recommend to others.No complaints at all,2024,02,17,competitive pricing route service reliable friendly time aspects went smoothly no complaints would recommend othersno complaints,0.0875,128,16
N Allen,2024-02-16,True,Family Leisure,February 2024,Singapore to Phnom Penh,Economy Class,2,Singapore,Phnom Penh,None,False,Singapore, Cambodia,Singapore,Phnom Penh,1.357107,11.568271,103.8194992,104.9224426,1135.8184706382772," This was my first time flying on a regional Singapore Airlines flight on a narrow-bodied aircraft since the old subsidiary Silk Air was absorbed by the parent carrier, and I was impressed. Everything went well on the flight, from boarding, to exemplary behaviour and courtesy shown by the cabin crew, to the food and boarding process at Changi airport. The inflight entertainment provided was the full product used for their long haul flights — amazing!“I was impressed”",2024,02,16,first time flying regional narrowbodied aircraft since old subsidiary silk air absorbed parent carrier impressed everything went well boarding exemplary behaviour courtesy shown cabin crew food boarding process changi airport inflight entertainment provided full product used long haul flights — amazing“i impressed”,0.44375,316,42
N Allen,2024-02-16,True,Solo Leisure,February 2024,London Heathrow to Singapore,Economy Class,2,London Heathrow,Singapore,None,False, United Kingdom,Singapore,Heathrow Airport,Singapore,51.46773895,1.357107,-0.4587800741571181,103.8194992,10875.322842038131, Superb service even in economy class. Nothing was too much trouble for the cabin crew. Good food and plentiful. Ample choice of entertainment. Flight departed late but still arrived a little early. Boarding at Heathrow was a little chaotic however.“Superb service”,2024,02,16,superb service even economy class nothing much trouble cabin crew good food plentiful ample choice entertainment departed late but still arrived little early boarding heathrow little chaotic however“superb service”,0.240625,214,29
L Hee,2024-02-16,True,Solo Leisure,January 2024,Singapore to Tokyo Haneda,Business Class,0,Singapore,Tokyo Haneda,None,False,Singapore, Japan,Singapore,Haneda,1.357107,35.5479444,103.8194992,139.7466458,5301.095811756782,"  I was one of the last business class passengers to board, Went to my seat and no offer of pre departure drinks or hot towel. Japanese FA came to me and confirmed my meal order and informed me lunch service would start around 1130am. We took off about 0830am, after takeoff lights were dimmed and nothing was offered. From the time the aircraft took off to the start of lunch service around 11am I did not see crew in the cabin and nothing was offered for 2 1/2 hours. Lunch started with a drink order of orange juice. What came was a syrupy kind of orange drink like cordial. Meal service was fine but this set of crew was just not SQ standard. The regional seat was really uncomfortable and cramped. I did not like it and prefer the older long haul seat.regional seat was really uncomfortable",2024,02,16,one last business class passengers board went seat no offer pre departure drinks hot towel japanese fa came confirmed meal order informed lunch service would start around took off takeoff lights dimmed nothing offered time aircraft took off start lunch service around not see crew cabin nothing offered hours lunch started drink order orange juice came syrupy kind orange drink like cordial meal service fine but set crew not sq standard regional seat really uncomfortable cramped not like prefer older long haul seatregional seat really uncomfortable,0.07121212121212123,551,86
Jason Keh,2024-02-09,False,Family Leisure,February 2024,Singapore to Hong Kong,Business Class,2,Singapore,Hong Kong,None,False,Singapore, China,Singapore,Hong Kong Island,1.357107,22.2793278,103.8194992,114.1628131,2571.398427497091,"  The flight is very smooth sailing, no problems whatsoever and the cabin crews are very friendly and helpful with great hospitality. The pre booked meals are very delicious and well cooked, I couldn’t have asked for a better airline than SIA. The seats are very comfortable and relaxing, it's even better when it’s been converted to a bed and plenty of space and privacy with better comfort. I hope to one day fly with this very amazing again.“no problems whatsoever”",2024,02,09,smooth sailing no problems whatsoever cabin crews friendly helpful great hospitality pre booked meals delicious well cooked couldn’t asked better sia seats comfortable relaxing even better it’s converted bed plenty space privacy better comfort hope one day fly amazing again“no problems whatsoever”,0.5875,298,42
C Harmon,2024-02-01,True,Solo Leisure,January 2024,Perth to Hong Kong via Singapore,Business Class,2,Perth,Hong Kong,Singapore,True, Australia, China,Perth,Hong Kong Island,-31.9558933,22.2793278,115.8605855,114.1628131,6004.418858083016,"  I flew Perth to Hong Kong via Singapore on SQ226/896 business class on 17/18 January. The first sector was faultless, the crew attentive, no rush with the meal service and a crew member always wandering around the business cabin checking on passengers, topping up drinks etc. magnificent. The next sector started well with friendly and attentive crew, however, after the meal service the entire crew serving business disappeared and were only seen if the bell was rung! A shame because this now seems to be the norm. Rush the meals, dim the lights and hide!crew serving business disappeared",2024,02,01,flew perth hong kong via business class january first sector faultless crew attentive no rush meal service crew member always wandering around business cabin checking passengers topping drinks etc magnificent next sector started well friendly attentive crew however meal service entire crew serving business disappeared seen if bell rung shame seems norm rush meals dim lights hidecrew serving business disappeared,0.39166666666666666,414,60
Niki Kladis,2024-01-29,True,Solo Leisure,December 2023,Sydney to Istanbul via Singapore,Business Class,0,Sydney,Istanbul,Singapore,True, Australia, Turkey,Sydney,Istanbul,-33.8698439,41.0766019,151.2082848,29.052495,14937.414440266648,"  For my final trip booked for July 2024, Singapore cancelled my return flight from Istanbul to Sydney. Both the travel agent and I have been trying to get in touch via phone, sms and online forms and they are not responding at all. The travel agent no longer wants to know after a month and a half of trying, they sent me an email for me to try direct, Singapore will not speak to me despite my telling them the agent has wiped his hands of it. Today I found out I will not get my full refund if I were to cancel because the agent took out travel insurance on my behalf without advising me at all. I always have my own travel insurance why would I need another. agent took out travel insurance on my behalf",2024,01,29,final trip booked july cancelled return istanbul sydney travel agent trying get touch via phone sms online forms not responding travel agent no longer wants know month half trying sent email try direct will not speak despite telling agent wiped hands today found will not get full refund if cancel agent took travel insurance behalf without advising always travel insurance would need another agent took travel insurance behalf,0.09666666666666666,427,68
E Darlon,2024-01-25,True,Solo Leisure,January 2024,Milan to Bangkok via Singapore,Economy Class,2,Milan,Bangkok,Singapore,True, Italy, Thailand,Milan,Bangkok,45.4641943,13.7524938,9.1896346,100.4935089,9033.136699650899,"  Booked a wheelchair service from Milan to Bangkok. Apart from a slight mishap in Singapore this was one of the best flights I have ever had. The quality of the service was outstanding. Crew worked throughout unlike many European airlines, with great attentiveness. I know because I never sleep. The quality of the food was superb. From my experience both Singapore airlines and Thai have the best training I have come across. Very good entertainment system with many choices. As a yearly flyer there is nothing better than having a long flight where everything works smoothly and people care about you. I can only say thank you. I appreciate your hard work. I will be flying with you again later this year.one of the best flights",2024,01,25,booked wheelchair service milan bangkok apart slight mishap one best flights ever quality service outstanding crew worked throughout unlike many european great attentiveness know never sleep quality food superb experience thai best training come across good entertainment system many choices yearly flyer nothing better long everything works smoothly people care say thank appreciate hard work will flying later yearone best flights,0.4619791666666667,432,61
B Morrison,2024-01-19,True,Solo Leisure,November 2023,London to Manila via Singapore,Economy Class,2,London,Manila,Singapore,True, United Kingdom, Philippines,London,Manila,51.4893335,14.5906346,-0.14405508452768728,120.9799964,10751.765771208558," I initially booked two separate flights for this airline in November. The first was a LHR-SIN-LHR flight and another was a SIN-MNL-SIN flight. To cut the story short, I requested to rebook my LHR-SIN flight two weeks ahead of my scheduled flight due to a family bereavement and I needed to be in the Philippines. Despite my personal situation, I received an amazing support from the Customer Service team, who happily reorganised my flight, connected my 2 flight bookings so I can get to Manila on time, and without rebooking fees. At the London airport, I was sent-off warmly by the ground staff who has empathised with me as I check-in and ensure I was boarded comfortably in the plane. These gestures of goodwill and support made me grateful for Singapore Airlines. Even though I am no longer based in Singapore, I will always find a way to fly with them. Thank you. These words are never enough for the outstanding, grateful and sincere help you have provided me.“received amazing support”",2024,01,19,initially booked two separate flights november first lhrsinlhr another sinmnlsin cut story short requested rebook lhrsin two weeks ahead scheduled due family bereavement needed philippines despite personal situation received amazing support customer service team happily reorganised connected bookings get manila time without rebooking fees london airport sentoff warmly ground staff empathised checkin ensure boarded comfortably gestures goodwill support made grateful even though no longer based will always find way fly thank words never enough outstanding grateful sincere help provided me“received amazing support”,0.3517857142857143,619,82
H Paran,2024-01-18,True,Couple Leisure,January 2024,Singapore to Melbourne,Economy Class,0,Singapore,Melbourne,None,False,Singapore, Australia,Singapore,Melbourne,1.357107,-37.8142454,103.8194992,144.9631732,6054.843174662175,"  I flew on SQ217 from Singapore to Melbourne on the 4th of January. My flight was terrible. To begin with my seat was broken and couldn’t be moved and the entertainment device was broken as well. My flight of nearly 8 hours was spent looking blankly into space, seated in the same position. I had severe back pain upon arrival as a result for the next couple of days. When I informed the crew, first the steward said I will be compensated with a voucher and asked me to choose what I like from the duty free catalog. When I did choose a product that would be useful for me, I was told by the air hostess that my voucher is only for $75 Singapore dollars and the rest will have to be paid by me! I informed them I don’t need their $75 voucher and that I will make a formal complaint about the plane’s defects. After my return I did make the complaint and they got back to me saying that another travel voucher of AU$200 will be issued to be used in my next flight with Singapore airlines. But the worst part was they lied and said I was offered another seat but I had declined saying I wanted to be seated next to my husband. This was an outrageous lie. At no point did they offer me another seat. This is very concerning. I would urge everyone flying in SQ next time, to either video any exchange with the crew in situations like this or get it in writing. After discussing with my husband, I informed them that I would not be flying with them in the near future so they can give me a cash voucher. But they replied saying they can only give me a voucher to be used for my future bookings through Singapore airlines. I refused to accept it because I will not fly with them in the future. Even a budget airline would have been more comfortable than this flight. But the greatest worry is their dishonesty.not fly with them in the future",2024,01,18,flew melbourne january terrible begin seat broken couldn’t moved entertainment device broken well nearly hours spent looking blankly space seated position severe back pain upon arrival result next couple days informed crew first steward said will compensated voucher asked choose like duty free catalog choose product would useful told air hostess voucher dollars rest will paid informed don’t need voucher will make formal complaint plane’s defects return make complaint got back saying another travel voucher will issued used next but worst part lied said offered another seat but declined saying wanted seated next husband outrageous lie no point offer another seat concerning would urge everyone flying sq next time either video exchange crew situations like get writing discussing husband informed would not flying near future give cash voucher but replied saying give voucher used future bookings refused accept will not fly future even budget would comfortable but greatest worry dishonestynot fly future,-0.05535714285714286,1011,152
Sean Wise,2024-01-16,True,Family Leisure,January 2024,Singapore to Adelaide,Economy Class,0,Singapore,Adelaide,None,False,Singapore, Australia,Singapore,Adelaide,1.357107,-34.9281805,103.8194992,138.5999312,5408.3309367273505,"  Barely any room to move, woke up to getting my knee crushed from the passenger in front of me reclining there seat back and was told it’s within their right to do so. Would not recommend flying economy with them if you are 6ft or taller.Barely any room to move ",2024,01,16,barely room move woke getting knee crushed passenger front reclining seat back told it’s within right would not recommend flying economy if tallerbarely room move,0.05892857142857143,162,25
Paul Bailey,2024-01-12,True,Solo Leisure,January 2024,Singapore to Manchester,Business Class,2,Singapore,Manchester,None,False,Singapore, United Kingdom,Singapore,Manchester,1.357107,53.4794892,103.8194992,-2.2451148,10942.809037363091," Flew on A52 from Singapore to Manchester on the 10 January. The cabin crew on this flight were excellent in providing outstanding service. Food and drinks were plentiful and of very high quality. My only issue was the seating which I found to be uncomfortable, but other than that the flight was superb. Very highly recommended.“outstanding service”",2024,01,12,flew manchester january cabin crew excellent providing outstanding service food drinks plentiful high quality issue seating found uncomfortable but superb highly recommended“outstanding service”,0.4028571428571429,194,23
David Mireylees,2024-01-08,True,Couple Leisure,January 2024,Singapore to Sydney,Business Class,2,Singapore,Sydney,None,False,Singapore, Australia,Singapore,Sydney,1.357107,-33.8698439,103.8194992,151.2082848,6301.23211398711,"  Checkin and immigration entry at Changi Airport a breeze, all completed and straight to Business Lounge within 5-10 minutes, Lovely and comfortable lounge at T3 with a vast array of food and beverages. Flight left slightly late due to operational issues but pre flight champagne was served and we were then on our way. I elected to have a meal upon departure ( as this was a 1am flight, but you can elect to have served 2 hours prior to arrival) and was served a very tasty steak and vegetables with some lovely french red wine. Staff then prepared lie down bed for a sleep which was bliss after a long day. Staff very courteous and professional as always , a reasonwhy I will continue to use SQ for all travel given the brilliant experience with this great airline, everytime.brilliant experience ",2024,01,08,checkin immigration entry changi airport breeze completed straight business lounge within minutes lovely comfortable lounge vast array food beverages left slightly late due operational issues but pre champagne served way elected meal upon departure but elect served hours prior arrival served tasty steak vegetables lovely french red wine staff prepared lie down bed sleep bliss long day staff courteous professional always reasonwhy will continue use sq travel given brilliant experience great everytimebrilliant experience,0.2316358024691358,524,73
Ken Duffin,2024-01-07,False,Solo Leisure,January 2024,Bangkok to Auckland via Singapore,Business Class,2,Bangkok,Auckland,Singapore,True, Thailand, New Zealand,Bangkok,Auckland,13.7524938,-36.852095,100.4935089,174.7631803,9566.744188327619,"   There's a reason why Singapore keep winning awards - AKL to BKK and then return BKK to AKL via SIN. Pretty much faultless service from one doorstep to the other. Great aircraft, crew, service, food, facilities, lounges, all on time. Sad to say the only faults lay with Auckland airport and its baggage handlers etc. Well done Singapore airlines, I've flown BC long haul with Qatar Airways and Malaysia Airlines this year as well, and SIA is the best alongside Qatar Airways.best alongside Qatar Airways ",2024,01,07,theres reason keep winning awards akl bkk return bkk akl via sin pretty much faultless service one doorstep great aircraft crew service food facilities lounges time sad say faults lay auckland airport baggage handlers etc well done ive flown bc long haul qatar airways malaysia year well sia best alongside qatar airwaysbest alongside qatar airways,0.42857142857142855,348,55
Sudipta Bandyopadhyay,2023-12-31,True,Family Leisure,December 2023,Singapore to Perth,Economy Class,0,Singapore,Perth,None,False,Singapore, Australia,Singapore,Perth,1.357107,-31.9558933,103.8194992,115.8605855,3899.741181439742,"  We booked our ticket well in advance for our return trip from India from CCU to Perth via Singapore and after few days SIA changed the flight timing later, from originally scheduled 7.40am to 7.20am. We boarded the flight from CCU and flight landed 1 minute before time. Upon landing we have received the notification that our flight has been rescheduled and it will depart at 9.30am. As mentioned before we booked well in advance and paid extra money for forward seats. However with utter surprise we have noticed that they have allocated us three different seats that too rear of the aircraft. While contacting the Transfer desk the customer service lady told us it is not possible to provide us any other seats so that three of us can seat together. She was very rude and not suitable for this kind of job. Being a Krisflyer Gold member this is very disappointing and not at all expected from SIA. allocated us three different seats",2023,12,31,booked ticket well advance return trip india ccu perth via days sia changed timing later originally scheduled boarded ccu landed minute time upon landing received notification rescheduled will depart mentioned booked well advance paid extra money forward seats however utter surprise noticed allocated us three different seats rear aircraft contacting transfer desk customer service lady told us not possible provide us seats three us seat together rude not suitable kind job krisflyer gold member disappointing not expected sia allocated us three different seats,-0.012500000000000002,563,83
Pierre Visseur,2023-12-27,False,Business,December 2023,Phuket to Singapore,Business Class,0,Phuket,Singapore,None,False, Thailand,Singapore,Phuket Province,Singapore,7.9366015,1.357107,98.3529292,103.8194992,947.0272440201518,"  We made a Phuket-Singapore round trip which was exemplary, from punctuality to welcome, including the food and drinks offered (Business Class). On the other hand, wishing to make a new reservation, it was impossible to pay online, as I had done previously, and despite around ten calls directly to Singapore (but visibly diverted to other call centers). The employees have nothing to do with it, they follow a protocol, but after 6 hours of attempts, I still haven't been able to pay my ticket. Deficient reservation system, friendly employees but very limited in their knowledge of their reservation system, impossible to reach a manager and promise of a solution in 72 hours. A real shame for an expensive company that claims to be among the best in the world. Nous avons fait un aller-retour Phuket-Singapore qui était exemplaire, de la ponctualité à l'accueil, en passant par les mets et boissons offerts ( Classe affaire ). Par contre, souhaitant effectuer une nouvelle réservation, impossible de payer en ligne, comme je l'avais fait précédemment, et malgré une dizaine d'appels directement à Singapour ( mais visiblement déviés sur d'autres centrales d'appel ). Les employés n'y sont pour rien, ils suivent un protocole, mais après 6 heures de tentatives, je n'ai toujours pas mon pu payer mon billet. Système de réservation déficient, employés sympathique mais très limités dans leurs connaissance de leur système de réservation, impossible d'atteindre un responsable et promesse d'une solution dans..... 72 heures. Une véritable honte pour une compagnie chère qui se prétend parmi les meilleures du monde.Deficient reservation system",2023,12,27,made phuketsingapore round trip exemplary punctuality welcome including food drinks offered business class hand wishing make new reservation impossible pay online done previously despite around ten calls directly but visibly diverted call centers employees nothing follow protocol but hours attempts still havent able pay ticket deficient reservation system friendly employees but limited knowledge reservation system impossible reach manager promise solution hours real shame expensive company claims among best world nous avons fait un allerretour phuketsingapore qui était exemplaire de la ponctualité à laccueil en passant par les mets et boissons offerts classe affaire par contre souhaitant effectuer une nouvelle réservation impossible de payer en ligne comme je lavais fait précédemment et malgré une dizaine dappels directement à singapour mais visiblement déviés sur dautres centrales dappel les employés ny sont pour rien ils suivent un protocole mais après heures de tentatives je nai toujours pas mon pu payer mon billet système de réservation déficient employés sympathique mais très limités dans leurs connaissance de leur système de réservation impossible datteindre un responsable et promesse dune solution dans heures une véritable honte pour une compagnie chère qui se prétend parmi les meilleures du mondedeficient reservation system,-0.05255283931754519,1353,193
Fook Yong Meng,2023-12-22,True,Family Leisure,December 2023,Kuala Lumpur to Hong Kong via Singapore,Economy Class,0,Kuala Lumpur,Hong Kong,Singapore,True, Malaysia, China,Kuala Lumpur,Hong Kong Island,3.1516964,22.2793278,101.6942371,114.1628131,2508.4362660368365,  Book early coming 2024 ticket suppose SQ101 launching Jun’24 and now received email say SQ101 is not operating due to operational reason. They suggest swapping my itinerary to one day earlier to SQ127 result long layover time in SIN and aircraft change from Boeing 737-8 to Boeing 737-800NG for real was ex-MI aircraft.swapping my itinerary to one day earlier,2023,12,22,book early coming ticket suppose launching jun’ received email say not operating due operational reason suggest swapping itinerary one day earlier result long layover time sin aircraft change boeing boeing real exmi aircraftswapping itinerary one day earlier,0.020833333333333332,258,37
